"Date","AbsoluteTime","Temperature"
"2013-12-09",3595536000,6.17
"2013-12-10",3595622400,8.78
"2013-12-11",3595708800,0.5
"2013-12-12",3595795200,3.56
"2013-12-13",3595881600,1.67
"2013-12-14",3595968000,9.33
"2013-12-15",3596054400,9.67
"2013-12-16",3596140800,0.28
"2013-12-17",3596227200,2.17
"2013-12-18",3596313600,8.22
"2013-12-19",3596400000,0.17
"2013-12-20",3596486400,3.72
"2013-12-21",3596572800,15
"2013-12-22",3596659200,17.89
"2013-12-23",3596745600,13.56
"2013-12-24",3596832000,3.22
"2013-12-25",3596918400,-1.28
"2013-12-26",3597004800,3.11
"2013-12-27",3597091200,1.83
"2013-12-28",3597177600,0.89
"2013-12-29",3597264000,5.17
"2013-12-30",3597350400,6.39
"2013-12-31",3597436800,6.5
"2014-01-01",3597523200,3.72
"2014-01-02",3597609600,7.39
"2014-01-03",3597696000,-2.56
"2014-01-04",3597782400,-1.28
"2014-01-05",3597868800,3.78
"2014-01-06",3597955200,-0.39
"2014-01-07",3598041600,-10.39
"2014-01-08",3598128000,-7.61
"2014-01-09",3598214400,1.67
"2014-01-10",3598300800,6.11
"2014-01-11",3598387200,13.06
"2014-01-12",3598473600,9.44
"2014-01-13",3598560000,3.39
"2014-01-14",3598646400,9.28
"2014-01-15",3598732800,4.11
"2014-01-16",3598819200,1.44
"2014-01-17",3598905600,1.11
"2014-01-18",3598992000,1.39
"2014-01-19",3599078400,3.11
"2014-01-20",3599164800,1.89
"2014-01-21",3599251200,7.89
"2014-01-22",3599337600,-3.5
"2014-01-23",3599424000,-2.72
"2014-01-24",3599510400,-5.22
"2014-01-25",3599596800,-7
"2014-01-26",3599683200,1.11
"2014-01-27",3599769600,7.44
"2014-01-28",3599856000,0.72
"2014-01-29",3599942400,-6.22
"2014-01-30",3600028800,-8.33
"2014-01-31",3600115200,-3.72
"2014-02-01",3600201600,7.44
"2014-02-02",3600288000,11.89
"2014-02-03",3600374400,13.61
"2014-02-04",3600460800,4.28
"2014-02-05",3600547200,6.06
"2014-02-06",3600633600,1.06
"2014-02-07",3600720000,1.11
"2014-02-08",3600806400,4.72
"2014-02-09",3600892800,4.39
"2014-02-10",3600979200,6.33
"2014-02-11",3601065600,4.33
"2014-02-12",3601152000,0.28
"2014-02-13",3601238400,-1.06
"2014-02-14",3601324800,4.5
"2014-02-15",3601411200,8.83
"2014-02-16",3601497600,1.56
"2014-02-17",3601584000,4.67
"2014-02-18",3601670400,13.17
"2014-02-19",3601756800,16.78
"2014-02-20",3601843200,13.39
"2014-02-21",3601929600,19.78
"2014-02-22",3602016000,7.5
"2014-02-23",3602102400,8.61
"2014-02-24",3602188800,11.83
"2014-02-25",3602275200,8.17
"2014-02-26",3602361600,10.56
"2014-02-27",3602448000,1.44
"2014-02-28",3602534400,1.33
"2014-03-01",3602620800,10.06
"2014-03-02",3602707200,12.44
"2014-03-03",3602793600,13.17
"2014-03-04",3602880000,1.06
"2014-03-05",3602966400,4
"2014-03-06",3603052800,9.83
"2014-03-07",3603139200,3.17
"2014-03-08",3603225600,7.22
"2014-03-09",3603312000,14.33
"2014-03-10",3603398400,14.22
"2014-03-11",3603484800,14.17
"2014-03-12",3603571200,19.89
"2014-03-13",3603657600,6.11
"2014-03-14",3603744000,2.94
"2014-03-15",3603830400,13.61
"2014-03-16",3603916800,14
"2014-03-17",3604003200,15.78
"2014-03-18",3604089600,4.5
"2014-03-19",3604176000,9.67
"2014-03-20",3604262400,10.78
"2014-03-21",3604348800,7.06
"2014-03-22",3604435200,14.67
"2014-03-23",3604521600,12.89
"2014-03-24",3604608000,9.72
"2014-03-25",3604694400,10.83
"2014-03-26",3604780800,2.33
"2014-03-27",3604867200,2.89
"2014-03-28",3604953600,14.89
"2014-03-29",3605040000,15.94
"2014-03-30",3605126400,10.72
"2014-03-31",3605212800,7.78
"2014-04-01",3605299200,17.17
"2014-04-02",3605385600,16.56
"2014-04-03",3605472000,19.22
"2014-04-04",3605558400,21.11
"2014-04-05",3605644800,17.06
"2014-04-06",3605731200,12.89
"2014-04-07",3605817600,11.39
"2014-04-08",3605904000,15.44
"2014-04-09",3605990400,11.89
"2014-04-10",3606076800,12.22
"2014-04-11",3606163200,13.44
"2014-04-12",3606249600,13.33
"2014-04-13",3606336000,17.5
"2014-04-14",3606422400,22.06
"2014-04-15",3606508800,18.44
"2014-04-16",3606595200,4.17
"2014-04-17",3606681600,11.5
"2014-04-18",3606768000,13.17
"2014-04-19",3606854400,13
"2014-04-20",3606940800,13.17
"2014-04-21",3607027200,12.72
"2014-04-22",3607113600,15.94
"2014-04-23",3607200000,16.33
"2014-04-24",3607286400,16
"2014-04-25",3607372800,20.56
"2014-04-26",3607459200,19.17
"2014-04-27",3607545600,18.28
"2014-04-28",3607632000,20.11
"2014-04-29",3607718400,22.56
"2014-04-30",3607804800,20.17
"2014-05-01",3607891200,16.22
"2014-05-02",3607977600,13.06
"2014-05-03",3608064000,16.22
"2014-05-04",3608150400,14.78
"2014-05-05",3608236800,17.83
"2014-05-06",3608323200,22.67
"2014-05-07",3608409600,20.44
"2014-05-08",3608496000,18.56
"2014-05-09",3608582400,25.06
"2014-05-10",3608668800,18.78
"2014-05-11",3608755200,18.39
"2014-05-12",3608841600,22.33
